pl_mass,pl_radius,mass_source,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,orbit_source,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,N2O2_frac,C_loss,atmospheric_loss
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,421.07156536593254,0.02037,catalog,4963874913.804738,8093695.099508817,Jackson,-0.46523008517893794,-0.7558251615446652,log,0.21180587230287612,0.15394361495319953,2.9281434961403092e+23,3.904191328187079e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,595.7017746884135,0.02037,catalog,3543261060.5064077,64879268.69711733,Jackson,-0.4113117561898168,-0.6402791142099649,log,0.46387150473846284,0.10998945664726967,7.01169368827991e+23,9.348924917706546e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1472.7112068869387,0.02037,catalog,1551710457.1103911,2337837.219461606,Jackson,-0.445047862274541,-0.7475429314058798,log,0.21138430692458238,0.940795858231196,2.4075809957768594e+23,3.2101079943691454e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,2608.0369420713973,0.02037,catalog,948009045.8924555,10424557.59330429,Jackson,-0.49507448248997526,-0.7806679196179105,GP,0.17166486073166187,0.01198698815869137,1.4095707858718604e+23,1.8794277144958136e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1032.210671157632,0.02037,catalog,4075589708.6417265,44993137.83583703,Selsis,-0.37418554282318783,-0.7962773121692622,log,0.14625783589232672,0.5642562647895047,3.889927744580655e+23,5.1865703261075394e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1094.0323574635377,0.02037,catalog,3897668045.064989,62237794.43719828,Selsis,-0.30288309841155553,-0.6415721303572911,log,0.17218092174512462,0.34830811860932664,7.601659194263541e+23,1.0135545592351388e+24
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1740.3374778391199,0.02037,catalog,2760200921.9724994,77498301.02871856,Selsis,-0.4234784484781961,-0.656449332585137,GP,0.13824021801226313,0.6637762542746551,2.9491010932812467e+23,3.932134791041662e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,583.9207437989073,0.02037,catalog,6392044884.854849,12501294.32815618,Selsis,-0.422372088416114,-0.7503425284608384,log,0.18830530540725277,0.6050553846688422,5.034810729198739e+23,6.713080972264984e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1056.8513981601857,0.02037,catalog,2084767240.8027997,32947934.118242778,Jackson,-0.36483657943342696,-0.7330848879625349,GP,0.22824857195518752,0.8034871557695565,3.2241245083833696e+23,4.298832677844493e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,5738.822909575753,0.02037,catalog,917494085.1657741,35229167.175904796,Selsis,-0.461246284022273,-0.6690647969268074,linear,0.06354022233543054,0.12533775617729537,6.036626076722224e+22,8.048834768962965e+22
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,4915.7336383216525,0.02037,catalog,1325598644.8844028,72174388.34801427,Selsis,-0.3636385425426779,-0.6570193888190302,linear,0.4828481239010123,0.31110735692534575,7.974988118351596e+23,1.063331749113546e+24
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1991.9039536170508,0.02037,catalog,1193344540.330153,47281055.39768285,Jackson,-0.30152457761964857,-0.729110785006925,linear,0.26228608678493864,0.44110256420410765,4.324651467940546e+23,5.766201957254061e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1365.7568710815244,0.02037,catalog,1658266682.7687044,62876516.53494386,Jackson,-0.3261224524037534,-0.710130406570813,GP,0.2587594255085261,0.8133748000861988,4.007459807528425e+23,5.343279743371233e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,301.34812682268347,0.02037,catalog,6958076770.46623,74960547.92018826,Jackson,-0.47097760750173223,-0.7336471465995957,linear,0.14668853519825423,0.5374554410324563,1.927770211968817e+23,2.570360282625089e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,769.872393274752,0.02037,catalog,2785118855.170934,24898100.386724006,Jackson,-0.39142463681991374,-0.7113827594667952,log,0.09089322393218427,0.2554736049484839,1.2997996308989736e+23,1.7330661745319646e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1091.8273364429167,0.02037,catalog,2024526602.471946,88844244.16751087,Jackson,-0.432031627546077,-0.776234651724183,linear,0.05693238132610463,0.4998545453502158,5.5624374726834126e+22,7.416583296911216e+22
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,349.2435537542494,0.02037,catalog,9816597343.053719,54746382.93767035,Selsis,-0.4344061261370738,-0.6266452749664938,linear,0.17403655916004213,0.4736841523028704,5.9116853876186455e+23,7.882247183491526e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,1051.1207619524193,0.02037,catalog,4019113056.0057797,61772587.14826547,Selsis,-0.3223894593786135,-0.6252832386725364,log,0.07072410043887654,0.0755557289689387,2.8313251824822653e+23,3.775100243309687e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,367.21357062052635,0.02037,catalog,5690040047.332006,35726503.16530386,Jackson,-0.335478649886886,-0.6136154733649427,linear,0.0579077234377355,0.7813020703878839,1.541391214584988e+23,2.0551882861133175e+23
0.9193499999999999,0.975,radius relation,0.27,593.6912246390772,20.8,682.0368684483851,0.02037,catalog,3118247394.7249126,67486927.7016072,Jackson,-0.3217540261045182,-0.7163000402156243,linear,0.4328747707049414,0.9346204394023362,8.549007208565035e+23,1.1398676278086713e+24
